	Bayesian SkyGrid: vc.drc.2025.onlycamps-rc-bs-400m.log			
time	date	datetime	milliseconds	mean	median	upper	lower
2024.830137	2024-10-29	2024-10-29T05:00:01	1730178001120	2.6175078772800817	2.5008256994656306	7.887441174010121	0.9961330873471286
2024.7280961836734	2024-09-21	2024-09-21T23:07:21	1726960041937	2.6303075663425357	2.5488581686251974	5.7771149556521095	1.2601512312148668
2024.626055367347	2024-08-15	2024-08-15T17:14:42	1723742082753	2.357853856169418	2.311217809790838	5.148910197142851	1.0816285436121238
2024.5240145510204	2024-07-09	2024-07-09T11:22:03	1720524123569	1.7060492887698362	1.6909537526556864	4.0855464380147515	0.7109540919539916
2024.421973734694	2024-06-02	2024-06-02T05:29:24	1717306164387	1.3189796340128224	1.3355451890683065	3.218321986113933	0.47175725435392096
2024.3199329183674	2024-04-25	2024-04-25T23:36:45	1714088205203	1.1631821621383343	1.1836625013356148	3.22268589595863	0.4222105728454722
2024.2178921020409	2024-03-19	2024-03-19T17:44:06	1710870246019	1.1186941379259734	1.1307242983984973	3.253297061718408	0.39479887364758454
2024.1158512857144	2024-02-11	2024-02-11T11:51:26	1707652286836	1.133232700751298	1.1466713638061865	3.1242898280116407	0.34754154900794276
2024.0138104693879	2024-01-05	2024-01-05T05:58:47	1704434327652	1.158605984427388	1.1624987786801815	3.336392582709657	0.3722134318820274
2023.9117696530614	2023-11-29	2023-11-29T00:06:08	1701216368468	1.1797741157920485	1.1800341196037378	3.467416989822804	0.4138801699959732
2023.8097288367348	2023-10-22	2023-10-22T18:13:29	1697998409285	1.1601353511916757	1.1512722536019218	2.9444153138923674	0.4760219000466055
2023.7076880204083	2023-09-15	2023-09-15T12:20:50	1694780450101	1.33063399492312	1.3343562542254206	3.156987641449608	0.5533228651607346
2023.6056472040818	2023-08-09	2023-08-09T06:28:10	1691562490917	1.6033459333195146	1.6255007723509682	3.987904329838142	0.594531777671834
2023.5036063877553	2023-07-03	2023-07-03T00:35:31	1688344531734	2.122273936733086	2.1623279972296703	5.834496156751919	0.778912000829998
2023.4015655714288	2023-05-26	2023-05-26T18:42:52	1685126572550	3.2929432365089655	3.2340830565614147	7.377916576970736	1.432833335492061
2023.2995247551023	2023-04-19	2023-04-19T12:50:13	1681908613366	5.162874800719507	5.029213176658226	9.650997275626558	2.7980142413498172
2023.1974839387758	2023-03-13	2023-03-13T06:57:34	1678690654183	5.4893588037609415	5.3751454797175215	9.761473807141932	3.1185920380890613
2023.0954431224493	2023-02-04	2023-02-04T01:04:54	1675472694999	4.037537259374195	4.02192691685407	6.918936327546378	2.3699114657380274
2022.9934023061228	2022-12-28	2022-12-28T19:12:15	1672254735815	4.519792072228735	4.445927061856332	8.647482227628348	2.594789620028462
2022.8913614897963	2022-11-21	2022-11-21T13:19:36	1669036776632	4.17659859735761	4.053565903382106	8.569993696061271	2.0618489126959165
2022.7893206734698	2022-10-15	2022-10-15T07:26:57	1665818817448	2.20245592508904	2.226915994148733	4.563200259065923	1.0311569195648438
2022.6872798571433	2022-09-08	2022-09-08T01:34:18	1662600858264	2.3884764872759074	2.372237840152604	4.598036242458653	1.1991119632903284
2022.5852390408168	2022-08-01	2022-08-01T19:41:39	1659382899081	2.343270549446251	2.325702317987442	5.131106816435667	1.126415448925066
2022.4831982244903	2022-06-25	2022-06-25T13:48:59	1656164939897	2.217693670985957	2.194481491309512	5.1955115389850866	0.9857120342751055
2022.3811574081637	2022-05-19	2022-05-19T07:56:20	1652946980713	2.0997001545925844	2.0739909453308707	5.316609085204387	0.8310819082495016
2022.2791165918372	2022-04-12	2022-04-12T02:03:41	1649729021531	2.0217862901174746	1.9927880414213661	5.2553478326339285	0.7150686237859473
2022.1770757755107	2022-03-05	2022-03-05T20:11:02	1646511062347	1.9097975802654834	1.8987036087935425	4.903988997487403	0.7068093206713093
2022.0750349591842	2022-01-27	2022-01-27T14:18:23	1643293103163	1.7241820563832326	1.7184658185083337	4.67148942238704	0.6824541653928203
2021.9729941428577	2021-12-21	2021-12-21T08:25:43	1640075143980	1.7156220001325537	1.7161613645654672	4.392136127376288	0.5782277374866875
2021.8709533265312	2021-11-14	2021-11-14T02:33:04	1636857184796	1.7744228993170175	1.769138658589637	4.749735907751837	0.6311627021750854
2021.7689125102047	2021-10-07	2021-10-07T20:40:25	1633639225612	1.8311469201674202	1.8231184662761044	4.832035604134305	0.7260449935565567
2021.6668716938782	2021-08-31	2021-08-31T14:47:46	1630421266429	1.8216941807391167	1.8083645111456352	4.351143950934315	0.782117946690095
2021.5648308775517	2021-07-25	2021-07-25T08:55:07	1627203307245	2.2825157799211624	2.2191363964775417	5.221448307122582	0.9825654195449843
2021.4627900612252	2021-06-18	2021-06-18T03:02:28	1623985348061	2.678240144752122	2.5964825270653074	6.297904779653663	1.1618496815757748
2021.3607492448987	2021-05-11	2021-05-11T21:09:48	1620767388878	3.1712813539752283	3.051628811934033	7.902614669593849	1.4639593469097318
2021.2587084285722	2021-04-04	2021-04-04T15:17:09	1617549429694	2.948233951965777	2.8221660158232016	7.3170791318715755	1.2824426522936743
2021.1566676122457	2021-02-26	2021-02-26T09:24:30	1614331470510	2.0541918191233095	2.0062181790541334	4.726732721455287	0.9093953351246762
2021.0546267959191	2021-01-20	2021-01-20T03:31:51	1611113511327	1.308484273529856	1.3048049680250067	3.1805065732002262	0.543709112502662
2020.9525859795926	2020-12-12	2020-12-12T21:39:12	1607809152143	1.0303217242474523	1.0494022167703558	2.9015147771251755	0.37718956526546227
