# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Fri Jul 04 14:54:03 EDT 2025 [seed=5707]
# -overwrite -beagle_cuda -beagle_double -beagle_order 1 -seed 5707 -errors 1000 vc.drc.2025.onlycamps-rc-bs-400m.xml
state	serotype.rates.Hikojima.Inaba	serotype.rates.Hikojima.Ogawa	serotype.rates.Inaba.Ogawa	serotype.rates.Inaba.Hikojima	serotype.rates.Ogawa.Hikojima	serotype.rates.Ogawa.Inaba	serotype.indicators.Hikojima.Inaba	serotype.indicators.Hikojima.Ogawa	serotype.indicators.Inaba.Ogawa	serotype.indicators.Inaba.Hikojima	serotype.indicators.Ogawa.Hikojima	serotype.indicators.Ogawa.Inaba	serotype.nonZeroRates
2200000	0.7165982232398158	0.6967458456230132	3.233037426136416	0.6268528196884999	1.5424536256703054	1.5312997012397964	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2240000	0.5095782331191965	0.10495116921224709	2.7428372055589403	0.7924871668587957	1.2052748294435258	1.4706709067764825	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2280000	0.6788573627654615	0.5268918119300336	1.613388038537033	1.5362411409731827	0.776736374735909	0.6635103353313663	0.0	1.0	1.0	0.0	1.0	1.0	4.0
2320000	1.0833185739507614	0.6169539136841399	1.5287036460802723	0.22788056143415628	0.7963774755766654	0.7203723654103917	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2360000	1.81598871033801	1.169433586399427	2.996240127724176	1.309005497646833	1.369828368520669	1.925504772172706	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2400000	0.502634157863155	0.02173930763017388	0.8213084250097124	0.16667795310691721	0.628066299483644	0.7690974101411935	1.0	1.0	1.0	1.0	1.0	1.0	6.0
2440000	0.39999495535152274	0.16962425019472085	2.262024783921705	0.8406942390738509	0.5016192839822212	1.279314569595724	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2480000	0.933593433179547	0.25290582959871677	3.219369216318599	0.6589819324595763	1.5033159865243526	1.5291018158872962	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2520000	0.05612092816328697	0.11712324250220231	1.654661929637784	0.3954742476522852	0.26039854927180245	0.8539816665240973	1.0	1.0	1.0	1.0	1.0	1.0	6.0
2560000	0.5346231758935971	0.7749562039904682	1.040416973967573	0.36442701261952365	1.0355976050066023	0.6347547651402673	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2600000	0.9103773591154074	0.9923510793551125	2.7630947698919592	0.7123090931974723	1.5809938071245289	2.5546613661631934	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2640000	0.07394166548964884	0.8643172685067656	1.818829414407262	1.4113456173171934	0.6342854752699797	1.2128277301418582	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2680000	1.414642833849609	0.4081219298473899	1.0607802274375289	0.6771460250534399	0.5422765331181061	1.4853360137293314	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2720000	0.013202544456838598	0.9126193693013502	1.5302770998045874	0.8682385185648824	0.9585093443462799	0.6883774786809219	1.0	1.0	1.0	1.0	1.0	1.0	6.0
2760000	0.9537933227810355	0.9117964375166521	3.7244229015155086	1.4674085431087889	1.0869735139863177	1.2775734067911386	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2800000	0.3938720969568566	0.3284773003074765	1.6634791712853547	0.5862299056804235	0.7697634719800902	0.647339449432466	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2840000	0.8104259453609974	1.3307641201077023	2.0410956493534536	1.049852358904032	0.8893946700615849	1.413708294423078	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2880000	0.48792379716324713	1.1287916988367817	2.632738344508732	1.8343319276690744	0.9340671632386714	2.086603410100098	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2920000	2.907333279913993	1.2152120085537454	2.018306216668889	0.5472622512838033	1.0004242343489158	1.3469448080667288	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2960000	0.545038496389973	0.330279017073264	0.7936492109214149	0.48217283196577987	0.4066362728100506	1.738943226872777	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3000000	0.9595413490483902	0.15010396898369635	0.9775582967862589	0.5477242881424669	0.27046588867315774	0.8094835450807145	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3040000	0.21183383381918022	0.18681106207170792	1.3121913083693366	0.5244122511628113	0.44158124351135747	1.6075551295726551	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3080000	0.9984773338565126	0.25072746206850755	0.8775795212628801	0.31869836471324475	0.9228312261941453	0.8433389336073751	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3120000	3.72378175850406	0.2208327511791795	2.323648675365375	0.3006858212376416	2.778316862611391	2.0462200029215443	0.0	0.0	1.0	1.0	1.0	1.0	4.0
3160000	0.14450777546744042	0.010115118128250325	0.8725933119216421	0.3793592439051508	0.3623209437259234	0.947072189946741	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3200000	0.07405194146600967	0.18046916845799796	1.2375783420031894	0.5625777016345312	0.5961626735971218	1.038297634017382	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3240000	0.2620144704089668	0.18856223312941187	1.4104761772361192	0.6457413933068973	0.5458374623536312	0.5202560144081096	1.0	0.0	1.0	1.0	1.0	1.0	5.0
3280000	0.22238472060414738	1.275686878304182	4.668259656611205	0.8066024614540128	0.3967245660878258	2.3212264386940338	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3320000	0.014747518983702551	0.28936628235309836	1.3793409885604717	0.32413233340742736	0.2895145153515036	0.5256026664122343	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3360000	0.15454641339387487	0.5607079469074246	2.585869599748958	1.4339163954382115	1.7231508951103163	0.6497312367337845	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3400000	1.4528973720142515	0.7939564066760015	2.279204244727654	1.6995412964664995	0.6795581017590823	0.9379748275659856	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3440000	0.026007536158333074	0.341906276358537	0.6716719643514331	0.4310754755264458	0.4897402955178964	0.5025203428933962	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3480000	0.0017985396705528546	1.1846947900547153	1.766915372022139	0.5994109664518061	0.3526502690208342	1.072435222258671	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3520000	0.44521450297809356	0.5867720414417972	2.265351530345116	1.0410749475229328	0.37668065987415844	1.0675051056784006	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3560000	0.12400646446767313	1.7855294986898276	0.7749273251442069	0.13335468618444424	0.20220794642529544	0.480625980265373	1.0	0.0	1.0	1.0	1.0	1.0	5.0
3600000	0.6744355938943475	0.35987748265031444	2.681448841822391	1.3480960608248793	0.30826056300871846	0.9917350818451702	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3640000	0.26712641398736564	0.15723821356852333	2.8004823093253277	0.9419469721967749	0.8098017368991726	1.3306676020066082	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3680000	0.5801864474597678	0.40065485252338146	2.0731809795367138	0.39192060906425785	0.4603158643151124	0.5752305004078413	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3720000	0.6020245671817563	0.3864298183265325	1.2484163235433037	0.5467986312693419	0.27865264957577807	0.5574848451909998	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3760000	0.03766022631555106	0.8275548744106788	3.2536883456207177	0.7299061462347856	0.4182675682244197	1.008760266114348	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3800000	0.07933498843463747	0.17159464256782367	3.154386658483743	0.6850335308573677	0.21162900670453522	1.3974031878762534	1.0	1.0	1.0	1.0	1.0	1.0	6.0
3840000	0.6862433548977522	0.1346334522555392	0.7779802584580056	0.685937515843232	0.25211014562702777	0.3721169934694874	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3880000	0.33096771645147294	0.5432616278852747	1.6189012899840183	0.4156793154016805	0.2510824565414152	0.8672072522367585	0.0	1.0	1.0	1.0	1.0	1.0	5.0
3920000	0.35356499328691016	2.0677704941257384	2.666335625348196	0.3316896730150167	0.44407376614038985	1.0392971798195416	1.0	0.0	1.0	1.0	1.0	1.0	5.0
3960000	0.7768581895942002	0.21825039205605787	1.650102311089752	0.7385503973260144	0.5031295111092872	1.0089995912048517	0.0	1.0	1.0	1.0	1.0	1.0	5.0
4000000	1.5693630249537032	0.2564417713563214	1.1109542913721275	0.3973262908369685	0.13953646629020994	0.5266569276820604	0.0	1.0	1.0	1.0	1.0	1.0	5.0
4040000	4.2461005581440405	0.23565083662764655	2.2999536804306384	0.3348518626658887	0.2693741567375107	0.9519782528627446	0.0	1.0	1.0	1.0	1.0	1.0	5.0
4080000	0.2248244447544649	1.1266696024463434	1.9333814443915067	1.0397196348955169	0.8615274835887037	2.48772735230399	1.0	1.0	1.0	1.0	1.0	1.0	6.0
4120000	0.7432232446176616	0.12317326200630585	1.0728417669370045	0.4370729820456118	0.554830596191593	1.0053742612311767	0.0	1.0	1.0	1.0	1.0	1.0	5.0
4160000	0.30325035226443603	0.4043969348416726	1.853286400771755	0.5057463594817816	0.23096141838130568	1.0564607921707005	1.0	1.0	1.0	1.0	1.0	1.0	6.0
4200000	0.34312794445620154	0.4096483540155864	2.291408675383832	1.9642870928145244	0.598917550438452	1.7091133330274417	0.0	1.0	1.0	1.0	1.0	1.0	5.0
4240000	0.4916995045220278	0.1440737959143189	1.9620613676176253	0.42568460269849917	0.31003999774174995	1.22821793289882	1.0	1.0	1.0	1.0	1.0	1.0	6.0
4280000	7.993291841541851	0.1690351045988748	0.4690547018496278	0.14616539539828682	0.31761359170250725	0.5117170863937132	0.0	1.0	1.0	1.0	1.0	1.0	5.0
4320000	0.24408026075290143	1.9849422388103661	2.144624159676027	0.9324116708176083	0.7005140886280754	0.899952280211281	1.0	0.0	1.0	1.0	1.0	1.0	5.0
4360000	0.40233168675563014	0.1067483980486298	1.8767854435814235	1.2581812865314275	1.0604088158815181	1.1719959159165092	0.0	0.0	1.0	1.0	1.0	1.0	4.0
4400000	0.02152151885793727	0.07955476323387921	1.2603424811708042	0.6374121351930534	0.5802273459883521	0.6380280766336391	1.0	1.0	1.0	1.0	1.0	1.0	6.0
4440000	6.207938033178526E-5	0.15926504073965467	4.4700846629413045	1.488831275655976	2.5568627534794954	1.421865864986921	1.0	1.0	1.0	1.0	0.0	1.0	5.0
4480000	0.059214308293194726	0.12651001331175551	2.4448568028231334	0.7274048727253775	1.2246201260906755	1.4659236054316918	1.0	0.0	1.0	1.0	1.0	1.0	5.0
4520000	0.3700970415815096	0.26790997753748214	1.423220639939612	0.34160310770368635	0.4151758601995682	0.6970394503497482	0.0	1.0	1.0	1.0	1.0	1.0	5.0
4560000	1.4271059289888297	2.165484766034393	1.1178904793737763	0.2980734554212851	0.3707631438852121	0.2601738539054243	0.0	0.0	1.0	1.0	1.0	1.0	4.0
4600000	0.16148065232529424	0.2368606355726418	0.27397367958547947	0.14441955869697606	0.28359211923429006	0.19143555228709797	0.0	0.0	1.0	1.0	1.0	1.0	4.0
4640000	2.0928713905781815	2.3666462833218995	0.29570005128976723	0.17174569549629892	0.28138754678619843	0.4061965763520315	0.0	0.0	1.0	1.0	1.0	1.0	4.0
4680000	0.6167914184282958	3.207431750026363	1.1093274135814428	0.21086391307906557	0.2558874723614322	0.31144449543912706	0.0	0.0	1.0	1.0	1.0	1.0	4.0
4720000	2.9762963370751687	2.5904623410274286	2.0717746336140346	1.2493996964460437	1.1734250842656866	2.1398967997883656	0.0	0.0	1.0	1.0	1.0	1.0	4.0
4760000	1.127625273686539	0.661229943565018	3.8308796262499523	0.5706344682588296	1.8558591040845946	1.2814423432354465	0.0	0.0	1.0	1.0	1.0	1.0	4.0
4800000	3.5514888333294303	0.32046556352987826	1.8335071206352718	0.9681671187539809	0.49231029348041444	1.6407531099747192	0.0	1.0	1.0	1.0	1.0	1.0	5.0
4840000	0.15678875444899112	1.0433946741987108	2.634705728663335	0.923874182950915	0.512160453508286	1.7074079657830197	1.0	0.0	1.0	1.0	1.0	1.0	5.0
4880000	0.17738434769604083	1.347620405957503	2.1291165361836812	0.8302150926937525	1.598336839130904	1.864276480276169	1.0	0.0	1.0	1.0	1.0	1.0	5.0
4920000	0.054661158919288425	0.5262551605096043	3.207368796791804	1.15916821474952	1.318814625411522	1.6546200402135185	1.0	1.0	1.0	1.0	1.0	1.0	6.0
4960000	0.4308228659264626	0.4214409866716777	6.168924479989244	0.9281044495074253	0.8038302925448375	2.9277052840251954	1.0	0.0	1.0	1.0	1.0	1.0	5.0
5000000	0.4612464015467026	1.216981314247954	3.358415756797765	0.8083717894833703	0.8335689055879135	3.660798436445662	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5040000	1.9772013216943651	0.11073986351505434	1.2877303186226654	0.09313112792047994	0.32562784827010754	0.8620926894552227	0.0	0.0	1.0	1.0	1.0	1.0	4.0
5080000	0.7642940957240973	0.1618730678604172	1.2429380689085519	0.43499647966332583	0.43970905830815327	0.5676683374939038	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5120000	0.10394480869576377	0.3796156277854674	3.2570103143588987	0.6036494231673606	2.113689357637302	0.9920792227802364	1.0	0.0	1.0	1.0	1.0	1.0	5.0
5160000	0.37906074661138817	0.30026060726531584	1.4600460716504637	0.49806957779968947	0.7779196118533407	1.0794945044912654	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5200000	0.42281468139260725	1.1835075307828984	0.44618912961718	0.9307269362356141	0.20610729815263734	0.45654876581000736	0.0	0.0	1.0	1.0	1.0	1.0	4.0
5240000	1.326236928224608	0.3657934796076706	0.5641286816759169	0.16692267049569526	0.18818111902323073	0.4116823690247054	0.0	0.0	1.0	1.0	1.0	1.0	4.0
5280000	0.30272312077875013	0.3424463262661259	3.5338799894481783	0.42042421801685037	0.9943205357714583	1.1121446289505943	1.0	1.0	1.0	1.0	1.0	1.0	6.0
5320000	0.826216877543746	0.7323199150337425	4.550324648701657	0.7917904031035888	1.8363236407930492	1.3079036543066445	1.0	0.0	1.0	1.0	1.0	1.0	5.0
5360000	0.30773705062992884	0.24314091535815138	3.2399420138760564	0.40036308376033747	1.63676755765231	1.246624735934235	1.0	0.0	1.0	1.0	1.0	1.0	5.0
5400000	1.2608888358297747	2.9586506043829464	1.6825654910023629	0.6725089851326019	0.3343771054096469	0.8343886952785424	0.0	0.0	1.0	1.0	1.0	1.0	4.0
5440000	0.25051001074798235	3.444530890579207	1.670254292241447	0.7064031762684417	1.0161529919945413	1.816642223845579	1.0	0.0	1.0	1.0	1.0	1.0	5.0
5480000	2.6807312615024173	0.2805076583752406	0.83623022206203	0.2552411868907371	0.7825606441663684	0.7041345156174832	0.0	0.0	1.0	1.0	1.0	1.0	4.0
5520000	2.398970702001481	0.6136155470294772	3.075206063872423	2.335296020077785	1.160422901937001	7.338653666431553	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5560000	1.2195030288711086	1.0136120415924712	0.6843667435097278	0.69682418228112	0.5564108905777907	2.3274701458078595	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5600000	0.18318851748350257	0.7466358027473945	2.14695529540896	0.7668816005020437	1.4160101852480436	2.1754155567672315	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5640000	2.247895957191534	0.4359059875224768	2.437547611768026	0.3618245451803323	0.7447601509158442	1.6776745629395688	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5680000	0.11686710293912424	1.7427215714380782	0.7826590980997497	0.669032813533028	0.7213850098415783	1.7234563563879381	0.0	0.0	1.0	1.0	1.0	1.0	4.0
5720000	0.43613389641568157	0.07822693031545946	2.497103981126014	0.9399507986528242	2.1533596336689573	2.8285075342171457	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5760000	0.011257434651261304	2.128032176632484	1.5292831076792335	0.39362678650457233	0.6246210058735008	1.5140602102176077	1.0	0.0	1.0	1.0	1.0	1.0	5.0
5800000	0.35388476143130015	1.4304587903401604	0.716447813181333	1.367061524650916	0.6364568162368399	1.1273387711860774	1.0	0.0	1.0	1.0	1.0	1.0	5.0
5840000	0.3902005222230868	0.8518874240476416	1.2126220571769242	0.2859968665784675	0.8002764717898694	1.542814535937254	0.0	0.0	1.0	1.0	1.0	1.0	4.0
5880000	0.2802103105244557	0.12691969653339485	0.6533783488212379	0.402086756646004	0.3914459078694511	0.7615494961822594	0.0	1.0	1.0	1.0	1.0	1.0	5.0
5920000	0.10492251530284212	0.7204539203480288	1.4819122173797388	0.99688022849685	0.3274809603117263	1.027393572798149	1.0	1.0	1.0	1.0	1.0	1.0	6.0
5960000	0.2634965012824762	1.0927111887172258	4.293432274690907	0.7540758319248063	1.0291609710032381	3.242403198936267	1.0	1.0	1.0	1.0	1.0	1.0	6.0
6000000	0.38100587722878526	0.31047756348402006	2.4738633100372813	0.5342941971187659	0.39036878413227205	0.6493511259314575	1.0	1.0	1.0	1.0	1.0	1.0	6.0
6040000	1.7104698408150723	2.1390227897672376	2.740949334910787	1.40886431507395	0.8279748002609929	0.7133760813359936	0.0	1.0	1.0	1.0	1.0	1.0	5.0
