name,serotype,source,cluster,location
7169_23_S69_Ogawa_2022,Ogawa,campsite,cluster-e,Munigi
7171_22_S70_Ogawa_2022,Ogawa,campsite,cluster-d,Don-Bosco
7174_22_S71_Ogawa_2022,Ogawa,campsite,cluster-d,Don-Bosco
7073_23_S2_Inaba_2022,Inaba,campsite,cluster-d,Don-Bosco
28_S28_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
132_23_S82_Ogawa_2022,Ogawa,campsite,cluster-d,Don-Bosco
200_S200_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
174_S65_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
221_S73_Inaba/Ogawa_2023,Inaba,campsite,cluster-e,Kanyaruchinya
80_S80_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
175_23_S8_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
176_23_S5_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
177_23_S76_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
29_S29_Inaba_2023,Inaba,campsite,cluster-e,Kanyaruchinya
249_S74_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
269_S79_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
78_S78_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
131_S131_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
195_S195_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
298_S66_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
320_23_S6_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
323_23_S3_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
193_S193_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
194_S194_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
383_23_S4_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
25_S25_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
112_S112_Inaba_2023,Inaba,campsite,cluster-e,Munigi
191_S191_Inaba_2023,Inaba,campsite,cluster-e,Munigi
27_S27_Inaba_2023,Inaba,campsite,cluster-e,Munigi
434_23_S1_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
26_S26_Inaba_2023,Inaba,campsite,cluster-e,Munigi
107_S107_Inaba_2023,Inaba,campsite,cluster-e,Kanyaruchinya
21_S21_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
696_23_S75_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
192_S192_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
101_S101_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
109_S109_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
120_S120_Inaba_2023,Inaba,campsite,cluster-e,Kanyaruchinya
909_23_S84_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
915_S75_Inaba_2023,Inaba,campsite,cluster-e,Kibati
919_23_S81_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
916_23_S74_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
917_23_S73_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
946_23_S80_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
951_23_S83_Inaba_2023,Inaba,campsite,cluster-e,Kibati
949_23_S24_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
103_S103_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
